"title","service","price.amount","streamingType"
"""BLESSED""","apple","12.99","buy"
"""BLESSED""","apple","3.99","rent"
"""BLESSED""","apple","9.99","buy"
"""Mitchell""!","prime","3.99","rent"
"""Mitchell""!","prime",NA,"subscription"
"""Mitchell""!","prime","19.99","buy"
"#BringBackAlice","hbo",NA,"subscription"
"#Captured","apple","4.99","buy"
"#Captured","apple","2.99","rent"
"#ChadGetsTheAxe","prime","5.99","buy"
"#ChadGetsTheAxe","prime","2.99","rent"
"#ChadGetsTheAxe","prime","5.00","buy"
"#Clout","peacock",NA,"subscription"
"#Clout","peacock",NA,"free"
"#CyberSleuths: The Idaho Murders","prime",NA,"addon"
"#DigitalLivesMatter","apple","12.99","buy"
"#DigitalLivesMatter","apple","3.99","rent"
"#DigitalLivesMatter","prime","3.99","rent"
"#DigitalLivesMatter","apple",NA,"addon"
"#DigitalLivesMatter","apple",NA,"addon"
"#DigitalLivesMatter","prime","9.99","buy"
"#DigitalLivesMatter","prime","12.99","buy"
"#DigitalLivesMatter","apple",NA,"addon"
"#DigitalLivesMatter","apple","9.99","buy"
"#FollowMe","prime","9.99","buy"
"#FollowMe","prime","11.99","buy"
"#FollowMe","prime","3.99","rent"
"#FollowMe","apple","3.99","rent"
"#FollowMe","apple","11.99","buy"
"#FollowMe","apple",NA,"addon"
"#FollowMe","apple",NA,"addon"
"#FollowMe","apple",NA,"addon"
"#FollowMe","apple",NA,"addon"
"#FollowMe","apple","9.99","buy"
"#FollowMe","prime","2.99","rent"
"#GeorgeWashington","apple",NA,"addon"
"#GeorgeWashington","curiosity",NA,"subscription"
"#Horror","prime",NA,"addon"
"#Horror","prime",NA,"addon"
"#Horror","prime","3.99","rent"
"#Horror","apple","12.99","buy"
"#Horror","apple","3.99","rent"
"#Horror","apple",NA,"addon"
"#Horror","apple",NA,"addon"
"#Horror","apple",NA,"addon"
"#Horror","apple",NA,"addon"
"#Horror","apple",NA,"addon"
"#Horror","apple",NA,"addon"
"#Horror","apple","9.99","buy"
"#Horror","prime","12.99","buy"
"#Horror","prime","9.99","buy"
"#Jowable","prime",NA,"addon"
"#Jowable","apple","3.99","rent"
"#Jowable","apple","12.99","buy"
"#Like","apple","3.99","rent"
"#Like","apple",NA,"addon"
"#Like","apple",NA,"addon"
"#Like","apple","9.99","buy"
"#Like","prime","3.99","rent"
"#Like","prime","9.99","buy"
"#Like","prime","7.99","buy"
"#Like","prime","2.99","rent"
"#Like","peacock",NA,"free"
"#Like","peacock",NA,"subscription"
"#LoveSwag","apple",NA,"addon"
"#LoveSwag","apple",NA,"addon"
"#LoveSwag","apple",NA,"addon"
"#LoveSwag","apple",NA,"addon"
"#LoveSwag","apple",NA,"addon"
"#LoveSwag","apple",NA,"addon"
"#LoveSwag","peacock",NA,"free"
"#LoveSwag","peacock",NA,"subscription"
"#LuckyNumber","prime",NA,"addon"
"#LuckyNumber","prime","7.99","buy"
"#LuckyNumber","prime",NA,"subscription"
"#LuckyNumber","prime","2.99","rent"
"#LuckyNumber","prime","9.99","buy"
"#LuckyNumber","prime","3.99","rent"
"#LuckyNumber","peacock",NA,"free"
"#LuckyNumber","peacock",NA,"subscription"
"#NoJoke","apple",NA,"addon"
"#NoJoke","apple",NA,"addon"
"#NoJoke","apple",NA,"addon"
"#NoJoke","apple","3.99","buy"
"#NoJoke","apple","2.99","rent"
"#NoJoke","apple","4.99","buy"
"#O2LForever","apple","3.99","rent"
"#O2LForever","apple","9.99","buy"
"#RichKids of Beverly Hills","apple",NA,"addon"
"#RichKids of Beverly Hills","apple",NA,"addon"
"#RichKids of Beverly Hills","apple",NA,"addon"
"#RichKids of Beverly Hills","apple",NA,"addon"
"#RichKids of Beverly Hills","apple",NA,"addon"
"#RichKids of Beverly Hills","apple",NA,"addon"
"#RichKids of Beverly Hills","apple",NA,"addon"
"#RichKids of Beverly Hills","apple",NA,"addon"
"#Roxy","apple","4.99","buy"
"#Roxy","apple","2.99","rent"
"#SCREAMERS","prime",NA,"subscription"
"#SCREAMERS","prime","2.99","buy"
"#SCREAMERS","prime","1.99","buy"
"#SCREAMERS","apple",NA,"addon"
"#SCREAMERS","apple",NA,"addon"
"#SCREAMERS","apple",NA,"addon"
"#SCREAMERS","apple",NA,"addon"
"#SCREAMERS","apple","0.99","rent"
"#SCREAMERS","prime","0.99","rent"
"#SCREAMERS","apple","1.99","buy"
"#SCREAMERS","apple","2.99","buy"
"Selfie","netflix",NA,"subscription"
"#SquadGoals","apple",NA,"addon"
"#SquadGoals","apple",NA,"addon"
"#SquadGoals","apple",NA,"addon"
"#SquadGoals","apple","9.99","buy"
"#SquadGoals","apple","12.99","buy"
"#SquadGoals","apple","3.99","rent"
"#Stuck","prime","1.99","rent"
"#Stuck","prime","2.99","rent"
"#Stuck","prime","9.99","buy"
"#Stuck","apple",NA,"addon"
"#Stuck","apple",NA,"addon"
"#Stuck","apple",NA,"addon"
"#Stuck","prime",NA,"subscription"
"#Stuck","prime","7.99","buy"
"#FriendButMarried","netflix",NA,"subscription"
